Circuit,circuitRef,Circuit_fixed,Current,Type,Direction,Location,Country,Last length used,Grands Prix,Season(s),Grands Prix held
Autódromo Hermanos Rodríguez ✔,rodriguez,Autódromo Hermanos Rodríguez,1,Race circuit,Clockwise,Mexico City, Mexico,4.304 km (2.674 mi),"Mexican Grand Prix,","1963–1970, 1986–1992, 2015–2019, 2021–2022",22
Circuit de Monaco ✔,monaco,Circuit de Monaco,1,Street circuit,Clockwise,Monte Carlo, Monaco,3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2019, 2021–2023",69
Ain-Diab Circuit,ain-diab,Ain-Diab Circuit,0,Road circuit,Clockwise,Casablanca, Morocco,7.618 km (4.734 mi),Moroccan Grand Prix,1958,1
Circuit Zandvoort ✔,zandvoort,Circuit Zandvoort,1,Race circuit,Clockwise,Zandvoort, Netherlands,4.259 km (2.646 mi),Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2022",32
Circuito da Boavista,boavista,Circuito da Boavista,0,Street circuit,Anti-clockwise,Porto, Portugal,7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2
Autódromo do Estoril,estoril,Autódromo do Estoril,0,Race circuit,Clockwise,Estoril, Portugal,4.360 km (2.709 mi),Portuguese Grand Prix,1984–1996,13
Circuito de Monsanto,monsanto,Circuito de Monsanto,0,Street circuit,Clockwise,Lisbon, Portugal,5.440 km (3.380 mi),Portuguese Grand Prix,1959,1
Algarve International Circuit,portimao,Algarve International Circuit,0,Race circuit,Clockwise,Portimão, Portugal,4.653 km (2.891 mi),Portuguese Grand Prix,2020–2021,2
Losail International Circuit ✔,losail,Losail International Circuit,1,Race circuit,Clockwise,Lusail, Qatar,5.418 km (3.367 mi),Qatar Grand Prix,2021,1
Sochi Autodrom,sochi,Sochi Autodrom,0,Race circuit,Clockwise,Sochi, Russia,5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8
Jeddah Corniche Circuit ✔,jeddah,Jeddah Corniche Circuit,1,Street circuit,Anti-clockwise,Jeddah, Saudi Arabia,6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2023,3
Marina Bay Street Circuit ✔,marina_bay,Marina Bay Street Circuit,1,Street circuit,Anti-clockwise,Marina Bay, Singapore,5.063 km (3.146 mi),Singapore Grand Prix,"2008–2019, 2022",13
Prince George Circuit,george,Prince George Circuit,0,Race circuit,Clockwise,East London, South Africa,3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3
Kyalami Grand Prix Circuit,kyalami,Kyalami Grand Prix Circuit,0,Race circuit,Anti-clockwise,Midrand, South Africa,4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20
Circuit de Barcelona-Catalunya ✔,catalunya,Circuit de Barcelona-Catalunya,1,Race circuit,Clockwise,Montmeló, Spain,4.657 km (2.894 mi),Spanish Grand Prix,1991–2023,33
Circuito Permanente del Jarama,jarama,Circuito Permanente del Jarama,0,Race circuit,Clockwise,San Sebastián de los Reyes, Spain,3.404 km (2.115 mi),Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9
Circuito Permanente de Jerez,jerez,Circuito Permanente de Jerez,0,Race circuit,Clockwise,Jerez de la Frontera, Spain,4.428 km (2.751 mi),Spanish Grand Prix,1986–1990,5
Montjuïc circuit,montjuic,Montjuïc circuit,0,Street circuit,Anti-clockwise,Barcelona, Spain,3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4
Circuit de Pedralbes,pedralbes,Circuit de Pedralbes,0,Street circuit,Clockwise,Barcelona, Spain,6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2
Valencia Street Circuit,valencia,Valencia Street Circuit,0,Street circuit,Clockwise,Valencia, Spain,5.419 km (3.367 mi),European Grand Prix,2008–2012,5
Scandinavian Raceway,anderstorp,Scandinavian Raceway,0,Race circuit,Clockwise,Anderstorp, Sweden,4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6
Circuit Bremgarten,bremgarten,Circuit Bremgarten,0,Road circuit,Clockwise,Bern, Switzerland,7.208 km (4.479 mi),Swiss Grand Prix,1950–1954,5
Intercity Istanbul Park,istanbul,Intercity Istanbul Park,0,Race circuit,Anti-clockwise,Istanbul, Turkey,5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9
Yas Marina Circuit ✔,yas_marina,Yas Marina Circuit,1,Race circuit,Anti-clockwise,Abu Dhabi, United Arab Emirates,5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2022,14
Aintree Motor Racing Circuit,aintree,Aintree Motor Racing Circuit,0,Road circuit,Clockwise,Aintree, United Kingdom,4.828 km (3.000 mi),British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Brands Hatch Circuit,brands_hatch,Brands Hatch Circuit,0,Race circuit,Clockwise,West Kingsdown, United Kingdom,3.703 km (2.301 mi),British Grand Prix,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",12
Donington Park,donington,Donington Park,0,Race circuit,Clockwise,Castle Donington, United Kingdom,4.020 km (2.498 mi),European Grand Prix,1993,1
Silverstone Circuit ✔,silverstone,Silverstone Circuit,1,Race circuit,Clockwise,Silverstone, United Kingdom,5.891 km (3.660 mi),"British Grand Prix,","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2023[a]",57
Circuit of the Americas ✔,americas,Circuit of the Americas,1,Race circuit,Anti-clockwise,Austin, United States,5.513 km (3.426 mi),United States Grand Prix,"2012–2019, 2021–2022",10
